NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
WASP-92 b,0.799233,0.0348186,0,1.19,0.804012
Kepler-418 b,,0.380735,0.2,0.98,1
Kepler-219 c,,0.156968,,,0.0392746
OGLE-2006-BLG-109L c,,4.52773,0.15,0.51,0.271
Kepler-561 c,,0.0590575,0,0.96,0.0219292
Qatar-5 b,4.31881,0.0412815,0,1.128,4.31985
HD 30669 b,0.468584,2.69464,0.18,0.92,0.468584
Kepler-1240 b,,0.0558238,0,0.98,0.00485109
Kepler-361 c,,0.283685,,,0.0199023
Kepler-265 e,,0.325506,,,0.0207641
Qatar-2 b,2.483,0.0215077,0,0.74,2.48409
Kepler-1448 b,,0.102351,0,0.95,0.0120099
Kepler-293 b,,0.140591,,,0.0281036
Kepler-166 b,,0.0759843,,,0.0171819
Kepler-1551 b,,0.172447,0,1.14,0.021628
HD 216437 b,2.16817,2.48556,0.319,1.117,2.16817
Kepler-1052 b,,0.210888,0,1.03,0.0256089
HAT-P-49 b,1.72579,0.0437742,0,1.543,1.72959
Kepler-623 b,,0.0821845,0,0.9,0.0271261
Kepler-1621 b,,0.418658,0,1.15,0.0161718
Kepler-367 c,,0.278143,,,0.00554835
Kepler-313 b,,0.118876,,,0.0200225
Kepler-67 b,,0.117046,,0.865,0.0267728
Kepler-1439 b,,0.0608017,0,0.46,0.0107116
Kepler-150 c,,0.0741975,,,0.0422294
Kepler-87 b,,0.477022,0.036,1.1,1.02004
HD 12484 b,2.98416,0.297295,0.07,1.01,2.98416
Kepler-681 b,,0.161056,0,0.8,0.0283318
Kepler-564 b,,0.0464443,0,0.95,0.0707577
HAT-P-7 b,1.77867,0.037964,0,1.5,1.7916
Kepler-316 c,,0.0704356,,,0.00493175
PSR B1257+12 C,,0.416595,0.0252,,0.0122719
HD 49674 b,0.101571,0.0571073,0.087,1.015,0.101571
HD 82943 b,1.58935,1.1851,0.203,1.133,1.68512
K2-105 b,0,0.0802803,,1.01,0
Kepler-342 c,,0.17279,,,0.014454
Kepler-783 b,,0.0504566,0,0.93,0.00123338
Kepler-1378 b,,0.0908478,0,0.7,0.0164814
Kepler-828 b,,0.0125101,0,0.81,0.0121297
WASP-38 b,2.70891,0.0758454,0.028,1.23,2.70901
WASP-69 b,0.259116,0.0452527,0,0.826,0.259543
Kepler-139 c,,0.569736,,,0.0344212
Kepler-1199 b,,0.116835,0,0.94,0.00485109
Kepler-817 b,,0.0497212,0,1.03,0.500877
HD 77338 b,0.0498139,0.0612143,0.09,0.93,0.0498139
Kepler-29 c,,0.109809,0,1,0.0251535
Kepler-605 c,,0.0336073,0,0.91,0.00172655
Kepler-444 c,,0.0489676,0.31,0.758,0.000273258
HD 220773 b,1.44975,4.94302,0.51,1.16,1.44975
Kepler-655 b,,0.264783,0,1.15,0.0223911
Kepler-559 b,,0.130567,0,0.96,0.0400412
WASP-6 b,0.521174,0.0428704,0.054,0.93,0.52136
HD 7924 d,0.0203801,0.155066,0.21,0.832,0.0203801
Kepler-1337 b,,0.146185,0,0.7,0.0186391
Kepler-1552 b,,0.601409,0,0.85,0.0192688
Kepler-206 c,,0.108963,,,0.0130508
Kepler-169 c,,0.066017,,,0.0057099
HD 159868 c,0.73,1.02595,0.15,1.16,0.73
HD 137388 b,0.227816,0.88883,0.36,0.86,0.227816
HD 95086 b,,,,,4.5
Kepler-196 b,,0.147733,,,0.0139923
Kepler-352 b,,0.0911742,,,0.00170474
Kepler-329 b,,0.0744278,,,0.00937625
Kepler-179 b,,0.0382833,,,0.0121773
Kepler-1080 b,,0.366455,0,1.1,0.0323205
Kepler-176 b,,0.0604835,,,0.0100631
WASP-104 b,1.26427,0.0291939,0,1.076,1.272
WASP-83 b,0.296234,0.0590285,0,1.11,0.3
GJ 536 b,0.0169649,0.0666108,0.08,0.52,0.0169649
Kepler-1095 b,,0.0504666,0,0.94,0.00571923
Kepler-1170 b,,0.0842697,0,0.8,0.0186391
Kepler-310 c,,0.28808,,,0.0344212
Kepler-339 b,,0.0570545,,,0.00983076
Kepler-124 d,,0.192925,,,0.00422638
Kepler-52 c,,0.10281,,0.54,0.0135364
Kepler-1132 b,,0.295466,0,0.87,0.0180364
Kepler-1265 b,,0.0607742,0,0.71,0.00819664
Kepler-1494 b,,0.390823,0,0.96,0.0281267
WASP-99 b,2.77639,0.0716458,0,1.48,2.78
HD 100777 b,1.16502,1.03378,0.36,1,1.16502
Kepler-818 b,,0.0891946,0,0.94,0.0867729
HAT-P-5 b,1.05391,0.0407152,0,1.157,1.05561
Kepler-1381 b,,0.166753,0,0.96,0.0170154
Kepler-125 b,,0.0506571,,,0.0182069
Kepler-193 b,,0.0990643,,,0.0184218
Kepler-1078 b,,0.0399419,0,0.94,0.014034
Kepler-585 b,,0.037917,0,0.96,0.0240196
HD 222582 b,7.63003,1.33658,0.725,0.965,7.63003
Kepler-119 c,,0.050338,,,0.00216566
GJ 273 e,0.0285413,1.02111,0.623344,0.29,0.0285413
Kepler-558 b,,0.175021,0,0.85,0.0181548
Kepler-670 b,,0.0389008,0,0.99,1
Kepler-770 c,,0.0248451,0,0.94,0.00553813
Kepler-1188 b,,0.131797,0,1.04,0.0154788
Kepler-434 b,2.85432,0.114265,0.131,1.198,2.86
Kepler-1398 c,,0.0525427,0,1.13,0.00325512
Kepler-16 b,,0.646795,0.0069,0.6897,0.333
Kepler-32 d,,0.128069,0,0.54,0.0221838
Kepler-58 c,,0.119982,,0.95,0.0245229
Kepler-758 b,,0.108438,0,1.16,0.019398
Kepler-1122 b,,0.230686,0,0.92,0.0151003
K2-26 b,,0.0962142,,0.56,0.0226759
Kepler-1534 b,,0.0604111,0,0.9,0.0139495
WASP-33 b,0,0.0255483,0,1.495,0
HD 128311 b,1.4572,1.08649,0.345,0.828,1.4572
HD 181433 d,0.535482,3.02208,0.48,0.78,0.535482
TrES-1 b,0.752484,0.0392516,0,0.878,0.752484
KELT-10 b,0.6801,0.0525079,,1.112,0.6803
HD 4208 b,0.807457,1.65355,0.052,0.879,0.807457
Kepler-773 b,,0.0478522,0,1.04,0.0101747
Kepler-62 e,,0.426299,0.13,0.69,0
Kepler-120 b,,0.0668458,,,0.0160511
HD 5388 b,1.96509,1.76349,0.4,1.21,1.96509
HIP 65426 b,,,,1.96,
Kepler-1393 b,,0.0349032,0,0.95,0.00129651
Kepler-1001 b,,0.111348,0,0.9,0.029598
CoRoT-10 b,2.75448,0.105463,0.53,0.89,2.75536
Kepler-1309 b,,0.174358,0,0.85,0.0181548
11 UMi b,11.0873,1.53498,0.08,1.8,11.0873
Kepler-286 d,,0.0640044,,,0.00789025
Kepler-338 c,,0.164238,,,0.0178911
WASP-138 b,1.20529,0.0491772,0,1.2,1.2057
HD 76920 b,3.94504,1.14933,0.856,1.17,3.94504
WASP-62 b,0.562022,0.0567187,0,1.25,0.56227
Kepler-496 b,,0.0763472,0,0.86,0.0176872
Kepler-1641 c,,0.20765,0,1.12,0.0259788
Kepler-1616 b,,0.0745798,0,1.21,0.00313024
Kepler-300 c,,0.23162,,,0.0169862
Kepler-1582 b,,0.0366252,0,0.28,0.0115494
HD 4732 c,2.36493,4.60219,0.23,1.74,2.36493
Kepler-258 c,,0.203997,,,0.0400599
Kepler-555 b,,0.126633,0,1.03,0.0240196
Kepler-1270 b,,0.0704248,0,1.28,0.0330424
Kepler-632 b,,0.187138,0,0.91,0.0165864
kappa CrB b,1.9747,2.71619,0.125,1.58,1.9747
Kepler-25 b,,0.0702822,0,1.19,0.0223552
HD 99492 b,0.106179,0.121908,0.254,0.832,0.106179
Kepler-167 c,,0.0681548,,0.77,0.00871939
Kepler-291 b,,0.0455136,,,0.0161415
HD 204941 b,0.26689,2.55427,0.37,0.74,0.26689
HD 42618 b,,0.554288,0.19,1.015,
K2-33 b,,0.0498037,0,0.56,0.0851504
Kepler-664 b,,0.0364157,0,1.01,0.021628
Kepler-1051 b,,0.19332,0,1.43,0.0347934
Kepler-603 d,,0.0663906,0,1.01,0.00774372
Kepler-218 d,,0,0,0,0.021628
Kepler-332 d,,0.206247,,,0.00523423
HD 196050 b,2.8434,2.51056,0.228,1.109,2.8434
WASP-11 b,0.539752,0.0436466,0,0.8,0.539755
HD 111232 b,6.84182,1.97489,0.2,0.78,6.84182
HD 117618 b,0.176652,0.174852,0.42,1.069,0.176652
Kepler-192 c,,0.15002,,,0.0235009
HD 180902 b,1.56395,1.38103,0.09,1.53,1.56395
Kepler-671 b,,0.0510769,0,0.97,0.0220818
Kepler-1263 b,,0.0507142,0,0.84,0.00468851
HIP 12961 b,0.354314,0.25497,0.166,0.67,0.354314
Kepler-1357 b,,0.0398164,0,0.93,0.00688654
HD 63454 b,0.384566,0.0362523,0,0.8,0.384566
Kepler-460 c,,0.729773,0,1.07,0.101476
BD +48 738 b,1.2654,1.11234,0.2,1.19,1.2654
Kepler-560 b,,0.0954693,0,0.34,0.0126737
Kepler-62 c,,0.0928559,0.186815,0.69,0
Kepler-371 c,,0.325944,,,0.0131206
Kepler-909 b,,0.119407,0,1.17,0.0109866
Kepler-732 b,,0.0690513,0,0.49,0.0162741
Kepler-724 b,,0.0420086,0,0.9,0.0325593
NGC 2423 3 b,6.63106,1.6555,0.21,1.18,6.63106
Kepler-227 b,,0.0877115,,,0.0288426
Kepler-33 c,,0.118876,0,1.291,0.0305282
Kepler-1280 b,,0.34156,0,1.2,0.0137822
Kepler-1383 b,,0.122255,0,1.26,0.00965491
WASP-118 b,0.515254,0.0545179,0,1.32,0.515386
Kepler-938 b,,0.267315,0,0.92,0.0166923
Kepler-275 b,,0.0926511,,,0.0178911
TRAPPIST-1 d,,0.0222009,0,0.089,0.0009344
HD 238914 b,,5.70035,0.56,1.47,
HD 13908 b,0.865,0.153755,0.046,1.29,0.865
HD 50499 b,1.74473,3.87172,0.253675,1.28,1.74473
CoRoT-14 b,7.56823,0.0269122,0,1.13,7.69464
Kepler-1542 e,,0.0568105,0,0.94,0.00111394
Kepler-820 b,,0.532115,0,1.23,0.124338
Kepler-521 b,,0.170471,0,1.34,0.0302544
Kepler-1136 b,,0.0311079,0,0.72,0.0121546
Kepler-176 d,,0.170666,,,0.019783
Kepler-319 d,,0.196363,,,0.0173806
Kepler-832 b,,0.0705758,0,0.92,0.015288
Kepler-80 d,,0.0413591,,,0.0128437
Kepler-155 b,,0.0641261,,,0.0155228
Kepler-342 d,,0.226833,,,0.0195472
Kepler-1015 b,,0.141962,0,1.49,0.0385876
CoRoT-4 b,0.717419,0.0903166,0,1.16,0.717419
Kepler-610 c,,0.575052,0,1.1,0.0325593
HAT-P-19 b,0.292129,0.0466409,0.067,0.842,0.292273
tau Gem b,20.3246,1.17509,0.031,2.3,20.3246
Kepler-396 b,,0.227505,,0.85,
Kepler-736 b,,0.043728,0,0.86,0.0256089
Kepler-784 b,,0.195581,0,1,0.0117956
Kepler-825 c,,0.0802514,0,1.03,0.0135358
HD 154857 c,2.57917,5.35635,0.06,1.718,2.57917
Kepler-1037 b,,0.0190889,0,0.82,0.00688654
K2-31 b,1.75232,0.0221125,0,0.91,1.7799
Kepler-1425 b,,0.114954,0,0.97,0.00235177
Kepler-24 c,,0.105496,0,1.03,0.0236121
Kepler-47 c,,0.895669,0,1.043,0.0729242
GJ 163 b,0.033876,0.0606753,0.11,0.4,0.033876
Kepler-133 c,,0.195273,,,0.0242535
Kepler-919 b,,0.101697,0,1.15,0.0170154
HIP 116454 b,0.0374396,0.0784741,0.205,0.775,0.03719
Kepler-924 b,,0.316935,0,1.14,0.0281267
Kepler-988 b,,0.109153,0,0.55,0.015383
Kepler-33 f,,0.253499,0,1.291,0.0654095
Kepler-116 b,,0.0643964,,,0.0353405
Kepler-869 b,,0.228204,0,0.97,0.0400412
Kepler-848 b,,0.0712451,0,1.01,0.0125983
Kepler-107 c,,0.0564705,,,0.0133325
Kepler-84 e,,0.178021,,,0.0208911
Kepler-109 b,,0.0689299,0,1.04,0.0182069
Kepler-764 b,,0.071869,0,0.92,0.0121546
Kepler-734 b,,0.0619246,0,0.85,0.0388741
Kepler-315 b,,0.410606,,,0.0445124
Kepler-837 b,,0.120447,0,0.85,0.0203354
Kepler-639 b,,0.0962449,0,1.14,0.0182743
KIC 11442793 f,,0.519687,,1.2,0.0254263
Kepler-1208 b,,0.0903224,0,0.8,0.0176872
Kepler-1238 b,,0.0551406,0,1.3,0.014205
Kepler-586 b,,0.0314856,0,0.94,0.0235163
Kepler-757 b,,0.0203817,0,1.08,0.00842926
HD 2039 b,5.92499,2.19755,0.715,1.123,5.92499
K2-16 c,,0.122878,,0.68,0.0208339
Kepler-128 c,,0.166306,,1.18,
Kepler-170 b,,0.0778294,,,0.0305853
HD 34445 d,0.0961265,0.481226,0.027,1.07,0.0961265
Kepler-36 c,,0.128401,0,1.071,0.025489
Kepler-247 d,,0.146486,,,0.0497576
Kepler-136 b,,0.100165,,,0.0151834
XO-2 b,0.566437,0.0368369,0,0.974,0.566541
Kepler-859 b,,0.136122,0,0.81,0.0285386
HD 191806 b,8.57451,2.81079,0.259,1.14,8.57451
Kepler-305 d,,0.128062,,,0.0223552
Kepler-120 c,,0.107059,,,0.0125754
Kepler-393 b,,0.0858179,,,0.00711292
Kepler-96 b,0.0261659,0.125499,0,1,0.0261659
Kepler-11 d,0.0191935,0.154764,0.0036055,0.961,0.0229683
Kepler-1497 b,,0.0819289,0,0.96,0.0123008
Kepler-1257 b,,0.0363506,0,0.9,0.0124263
GJ 1132 b,0.0052796,0.0153263,0,0.181,0.0052796
HD 187085 b,0.803694,2.02754,0.47,1.143,0.803694
HD 118203 b,2.13623,0.0702997,0.309,1.23,2.13623
Kepler-833 b,,0.119053,0,0.64,0.0149156
Kepler-106 b,,0.0657994,0,1,0.00144019
HATS-17 b,1.34126,0.130891,0.029,1.131,1.34144
Kepler-198 d,,0.0228923,0,0.93,0.0124263
Kepler-464 b,,0.0781697,0,1.21,0.0325593
WASP-63 b,0.377818,0.0574592,0,1.32,0.378096
HD 103720 b,0.62047,0.0498148,0.086,0.794,0.62047
HD 224538 b,6.02254,2.42516,0.464,1.34,6.02254
Kepler-30 b,,0.185524,0.042,0.99,0.035557
Kepler-836 b,,0.0998849,0,1.03,0.0227057
Kepler-214 c,,0.183794,,,0.0158724
Kepler-946 b,,0.0993188,0,0.94,0.014205
HD 175167 b,7.77836,2.40085,0.54,1.102,7.77836
Kepler-273 b,,0.0401325,,,0.0117855
Kepler-461 b,,0.0797776,0,0.98,0.0206139
Kepler-1603 b,,0.036038,0,1.21,0.00709482
Kepler-323 c,,0.0455761,,,0.0121124
Kepler-84 d,,0.0511438,,,0.00893492
Kepler-267 c,,0.0707769,,,0.0158724
HAT-P-16 b,4.1951,0.0413275,0.036,1.218,4.2025
TrES-4 b,0.913019,0.0509243,0,1.394,0.925
Kepler-231 c,,0.140675,,,0.0142208
NGC 4349 127 b,9.88561,1.68103,0.19,1.37,9.88561
Kepler-184 b,,0.0949568,,,0.0181008
GJ 676 A b,4.43286,1.80757,0.328,0.71,4.43286
Kepler-60 b,,0.0750769,,1.11,0.0172607
Kepler-1124 b,,0.0277394,0,0.35,0.00688654
Kepler-1235 b,,0.0494161,0,0.93,0.00123338
Kepler-151 b,,0.120241,,,0.0279223
HIP 109384 b,1.56499,1.13482,0.549,0.78,1.56499
Kepler-242 c,,0.116354,,,0.0147725
Kepler-230 b,,0.199823,,,0.0596201
HD 47186 c,0.348285,2.38704,0.249,0.99,0.348285
Kepler-463 b,,0.0807229,0,0.87,0.0277215
Kepler-1553 b,,0.048585,0,0.85,0.00485109
Kepler-1003 b,,0.0471986,0,1.11,0.0131362
Kepler-840 b,,0.0364828,0,1.04,1
Kepler-351 c,,0.290701,,,0.0303861
Kepler-534 b,,0.126093,0,1.05,0.0169068
Kepler-350 b,,0.0979073,,,0.0136211
Kepler-382 b,,0.0592083,,,0.00769114
Kepler-900 b,,0.0658684,0,0.78,0.0154788
GJ 9827 d,0.0163262,0.0561474,,0.614,0.0163432
HIP 14810 d,0.5806,1.88623,0.165251,0.99,0.5806
Kepler-209 b,,0.124721,,,0.0170837
Kepler-123 c,,0.174808,,,0.0112762
HAT-P-55 b,0.582812,0.0460506,0,1.013,0.583282
HD 142245 b,1.89038,2.77628,0,1.69,1.89038
Kepler-1251 b,,0.241134,0,0.92,0.0135358
Kepler-59 c,,0.136086,,1.04,0.0149563
Kepler-493 b,,0.0451413,0,1.36,1
KIC 11442793 b,,0.0761616,,1.2,0.00752338
Kepler-1054 b,,0.0553537,0,1.22,0.0213319
Kepler-258 b,,0.109294,,,0.0537981
K2-108 b,0.186816,0.0573215,0.18,1.121,0.186816
Kepler-1607 b,,0.116755,0,1.14,0.00215846
Kepler-309 c,,0.436563,,,0.019783
Kepler-1447 b,,0.28584,0,0.97,0.0252452
Kepler-302 c,,0.495205,,,1
Kepler-1489 b,,0.361423,0,0.93,0.0130579
HD 30177 b,9.68782,3.80821,0.193,0.951,9.68782
Kepler-466 b,,0.272969,0,1.04,0.0243624
Kepler-678 b,,0.071979,0,0.94,0.087953
Kepler-446 d,,0.0352283,0,0.22,0.00890695
Kepler-4 b,0.0772272,0.0455763,0,1.223,0.0772279
HAT-P-50 b,1.3634,0.0453232,0,1.273,1.37181
Kepler-1370 b,,0.154149,0,1.19,0.0135358
Kepler-882 b,,0.0475302,0,0.9,0.00609283
bet Cnc b,7.8,1.67364,0.08,1.7,7.8
HD 190647 b,1.90296,2.07238,0.18,1.1,1.90296
Kepler-530 b,,0.223973,0,0.97,0.0271261
Kepler-1522 b,,0.0290724,0,0.96,0.0127496
Kepler-759 b,,0.238842,0,1.04,0.0172355
Kepler-1351 b,,0.0163913,0,0.7,0.000639382
Kepler-529 c,,0.109729,0,1.07,0.0147338
Kepler-977 b,,0.167537,0,0.87,0.0211858
HD 97658 b,0.024749,0.0796373,0.064,0.748,0.024739
Kepler-261 b,,0.0931334,,,0.0163243
Kepler-658 b,,0.0198513,0,0.63,0.0120821
Kepler-57 b,,0.0588891,,0.83,0.0163986
Kepler-175 b,,0.102029,,,0.020389
Kepler-509 b,,0.243116,0,1.1,0.0195285
Kepler-577 b,,0.156872,0,0.78,0.0201979
Kepler-323 b,,0.0276391,,,0.0100631
Kepler-1153 b,,0.0276021,0,0.91,0.0127496
Kepler-433 b,2.84877,0.0678214,0.119,1.46,2.82
Kepler-1319 b,,0.0327047,0,0.56,0.00819664
HAT-P-51 b,0.309041,0.0506843,0,0.976,0.309149
Kepler-377 c,,0.176201,,,0.0152673
HD 106270 b,11.0869,4.37827,0.402,1.33,11.0869
Kepler-1287 b,,0.0982303,0,0.96,0.0115145
Kepler-426 b,0.341143,0.0413383,0,0.91,1
Kepler-379 c,,0.309155,,,0.0173806
WASP-20 b,0.309586,0.0599991,0,1.2,0.311
HD 30856 b,1.85721,2.04004,0.117,1.36,1.85721
Kepler-315 c,,0.808381,,,0.056492
HATS-35 b,1.22799,0.0319991,0,1.317,1.22979
Kepler-80 c,,0.0788018,,0.72,0.022
Kepler-179 c,,0.067463,,,0.0147725
HD 24064 b,9.45161,1.29459,0.35,1,9.45161
HD 48265 b,1.47557,1.80168,0.08,1.28,1.47557
Kepler-476 b,,0.114843,0,1.03,0.0283318
Kepler-154 e,,0.0469031,0,0.89,0.0118373
HATS-4 b,1.25726,0.032693,0.013,1.001,1.323
Kepler-1608 b,,0.11512,0,0.75,0.0127496
Kepler-527 b,,0.119195,0,1.28,0.0241903
HD 34445 c,0.16788,0.71769,0.036,1.07,0.16788
CoRoT-27 b,10.371,0.0466557,0,1.05,10.3882
Kepler-1115 b,,0.188086,0,1.6,0.0125983
Kepler-1141 b,,0.0346536,0,1.01,0.00142986
Kepler-360 c,,0.0728812,,,0.0156092
Kepler-154 d,,0.141235,0,0.89,0.0467496
Kepler-262 b,,0.108539,,,0.00850717
Kepler-969 c,,0.0269307,0,0.92,0.00277643
Kepler-1106 b,,0.0235482,0,1.11,0.0122275
Kepler-381 b,,0.0619291,,,0.0028129
Kepler-168 c,,0.109272,,,0.0220797
Kepler-84 f,,0.245953,,,0.0165098
Kepler-874 b,,0.235841,0,1.09,0.0499388
Kepler-987 b,,0.432008,0,0.97,0.0318486
Kepler-529 b,,0.0315668,0,1.07,0.0136995
HD 89307 b,1.79148,3.26609,0.2,0.989,1.79148
Kepler-1039 b,,0.0172977,0,0.79,0.0107116
Kepler-1112 b,,0.127487,0,1.34,0.0271261
HD 163607 c,2.2924,2.41789,0.12,1.09,2.2924
Kepler-960 b,,0.0383568,0,0.77,0.0173469
WASP-49 b,0.376728,0.0378972,0,0.938,0.378231
Kepler-288 b,,0.065318,,,0.0123736
Kepler-37 c,0.0107883,0.139784,0.0984886,0.803,0.0107897
Kepler-1314 b,,0.0509616,0,0.6,0.0867729
Kepler-55 b,,0.153688,,0.62,0.0188372
Kepler-1504 b,,0.350774,0,0.85,0.0158698
HD 4313 b,2.17173,1.13327,0.041,1.53,2.17173
Kepler-1197 b,,0.0289045,0,0.78,0.00648186
HR 8799 b,,67.4293,0,1.516,7
Kepler-774 b,,0.113114,0,1.57,0.0300338
Kepler-1173 b,,0.0156331,0,0.86,0.00189081
HD 2638 b,0.477325,0.0435743,0,0.93,0.477325
Kepler-272 b,,0.0404491,,,0.0100631
Kepler-231 b,,0.0912341,,,0.0127755
Kepler-512 b,,0.218278,0,1.17,0.0220818
Kepler-747 b,,0.198299,0,0.82,0.0923502
Kepler-827 b,,0.265894,0,0.93,0.105771
Kepler-1057 b,,0.116763,0,1.07,0.0340314
HD 168443 b,7.69745,0.29385,0.52883,0.995,7.69745
WASP-41 c,2.97516,0.950245,0.294,0.93,2.97516
Kepler-373 b,,0.0612399,,,0.00850717
Kepler-1622 b,,0.104704,0,1.31,0.0109866
Kepler-288 d,,0.288618,,,0.0218083
HD 10180 f,0.0743252,0.49279,0.133,1.06,0.0743252
Kepler-445 c,,0.0317534,0,0.18,0.020474
Kepler-1088 b,,0.162992,0,1.08,0.00991268
HD 45350 b,1.83614,1.94413,0.778,1.054,1.83614
Kepler-770 d,,0.0495281,0,0.94,0.00940137
HD 69830 c,0.0367709,0.185072,0.13,0.849,0.0367709
Kepler-963 b,,0.0878919,0,0.91,0.021628
TYC 1422-614-1 b,2.5,0.697981,0.06,1.15,2.5
Kepler-21 b,,0.0427173,0,1.34,0.0121473
Kepler-352 c,,0.125984,,,0.00621274
Kepler-363 b,,0.046094,,,0.00493175
Kepler-1053 b,,0.0318579,0,0.74,0.00266535
Kepler-390 b,,0.0698175,,,0.00144064
K2-18 b,0.0253363,0.142931,0,0.359,0.025337
CoRoT-28 b,0.483851,0.0590095,0.047,1.01,0.484
Kepler-340 b,,0.118208,,,0.0200225
Kepler-679 b,,0.100056,0,0.87,0.0271261
Kepler-335 c,,0.325549,,,0.0281036
Kepler-841 b,,0.462033,0,0.85,0.09114
HD 47186 b,0.071203,0.0498411,0.038,0.99,0.071203
Kepler-226 b,,0.0488289,,,0.011604
KELT-3 b,1.454,0.0412729,0,1.282,1.46164
Kepler-51 c,,0.379271,,1,0.0126
Kepler-1639 b,,0.0935706,0,1.12,0.0206139
HD 148427 b,1.14357,1.03886,0.16,1.36,1.14357
Kepler-810 b,,0.0546451,0,1.03,0.014205
Kepler-226 c,,0.0598621,,,0.0171819
Kepler-1520 b,,0.0134503,0,0.76,0.111491
Kepler-533 b,,0.168131,0,0.78,0.0345375
epsilon Tau b,7.67663,1.93647,0.151,2.73,7.67663
Kepler-11 e,,0.19466,0.012,0.961,0.0264312
Kepler-366 c,,0.1055,,,0.0131908
Kepler-1419 b,,0.239214,0,1.01,0.024536
HAT-P-46 b,0.495889,0.0576688,0.123,1.284,0.493
HD 208487 b,0.5122,0.520765,0.24,1.113,0.5122
Kepler-1033 b,,0.07385,0,0.94,0.0197927
Kepler-616 c,,0.391589,0,0.98,0.0350514
Kepler-288 c,,0.140842,,,0.0244074
Kepler-1517 b,,0.0714194,0,1.58,0.696016
Kepler-48 d,,0.229818,0,0.88,0.0151
Kepler-626 b,,0.116684,0,1.01,0.0173469
Kepler-311 b,,0.0857785,,,0.012573
Kepler-117 c,,0.268407,,,0.923754
epsilon Eri b,1.05448,3.37558,0.25,0.82,1.05448
Kepler-271 d,,0,0,0,0.000678484
Kepler-69 c,,0.709354,0.14,0.81,0.0126299
Kepler-935 b,,0.0518363,0,0.78,0.00819664
Kepler-1245 b,,0.0496255,0,0.86,0.0101747
Kepler-296 f,,0.310961,,,0.0131908
HD 20782 b,1.9,1.36607,0.97,0.969,1.9
Kepler-613 b,,0.122297,0,0.98,0.0173469
Kepler-1011 b,,0.0608921,0,0.91,0.0247111
Kepler-1536 b,,0.891311,0,0.71,0.0293826
Kepler-726 b,,0.146374,0,0.88,0.0318486
Kepler-1400 b,,0.0799721,0,0.83,0.0120821
Kepler-896 b,,0.508596,0,0.84,0.0200617
Kepler-228 c,,0.050414,,,0.0222169
HD 190360 c,0.0589738,0.129216,0.23747,0.983,0.0589738
Kepler-23 c,,0.0986522,0,1.11,0.0305282
Kepler-823 b,,0.050347,0,0.98,0.0117248
Kepler-1490 b,,0.386292,0,0.9,0.0275214
Kepler-378 b,,0.124744,,,0.00105258
HD 128356 b,0.748401,0.756964,0.57,0.65,0.748401
Kepler-760 b,,0.0796567,0,0.89,0.0279233
Kepler-1558 b,,0.0424359,0,0.83,0.000761911
Kepler-1618 b,,0.0733316,0,1.41,0.00648186
HD 141399 d,1.18891,2.09454,0.074,1.07,1.18891
HD 65216 b,1.21636,1.37427,0.41,0.92,1.21636
Kepler-343 c,,0.159296,,,0.0149351
Kepler-42 b,,0.0112809,,0.13,0.0012042
Kepler-593 b,,0.153888,0,1.08,0.0247111
Kepler-212 b,,0.125596,,,0.00396389
Kepler-296 c,,0.063479,,,0.0160511
Kepler-1482 b,,0.0996817,0,0.88,0.0030088
Kepler-157 d,,0,0,0,0.0107116
Kepler-1004 b,,0.0615039,0,1.11,0.145803
Kepler-356 b,,0.0542304,,,0.0117295
Kepler-968 b,,0.0426707,0,0.76,0.0147338
HAT-P-13 b,0.8514,0.0426946,0.0133,1.22,0.85708
Kepler-244 b,,0.0518456,,,0.0230631
Kepler-448 b,,0.151393,0,1.452,0
GJ 3634 b,0.0221881,0.0286881,0.08,0.45,0.0221881
Kepler-9 b,0.248865,0.140548,0.150841,1,0.248945
Kepler-1070 b,,0.0705457,0,1.21,0.0127496
Kepler-1087 b,,0.0151311,0,0.96,0.000499273
Kepler-1071 b,,0.0626755,0,0.86,0.0182743
Kepler-1432 b,,0.167165,0,1.09,0.0166923
HD 130322 b,1.04309,0.0896052,0.011,0.836,1.04309
Kepler-1422 b,,0.143967,0,1.15,0.0149156
Kepler-1388 e,,0.188407,0,0.63,0.0191406
Kepler-277 c,,0.209126,,1.12,
Kepler-934 b,,0.265992,0,0.81,0.0154788
Kepler-31 d,,0.386163,,,0.0685925
Kepler-399 d,,0.293358,,,0.0139171
Kepler-215 c,,0.117265,,,0.0130508
Kepler-108 b,,0.262717,,,0.268526
Kepler-742 b,,0.0735719,0,0.76,0.0313841
Kepler-1050 c,,0.153931,0,1.09,0.0112658
K2-32 c,,0.140652,,0.87,0.0379597
K2-14 b,,0.0627173,0,0.47,0.0786872
NGTS-1 b,0.81948,0.0318973,0.016,0.617,0.81948
Kepler-1298 b,,0.0820438,0,1.45,0.00752338
KELT-15 b,1.30897,0.0555347,0,2.06,1.30955
Kepler-1297 b,,0.0275857,0,0.99,0.00266535
Kepler-1613 b,,0.0265264,0,1.08,0.0154788
Kepler-903 c,,0.30753,0,0.98,0.0200617
Kepler-348 c,,0.130735,,,0.00789025
Kepler-1543 b,,0.0796733,0,1.39,0.0223911
Kepler-124 b,,0.0443423,,,0.000957504
Kepler-185 c,,0.147681,,,0.0149351
