NAME,MSINI,A,ECC,MSTAR,MASS
,mjupiter,au,,msun,mjupiter
Kepler-1252 b,,0.121659,0,1.06,0.0123746
Kepler-292 f,,0.148181,,,0.0179955
Kepler-847 b,,0.0324471,0,0.83,0.00518721
Kepler-1355 b,,0.0222195,0,0.88,0.0107116
Kepler-20 e,,0.063351,0,0.912,0.00175601
Kepler-450 b,,0.2014,0,1.346,
Kepler-296 d,,0.143477,,,0.0172808
HD 149143 b,1.32811,0.0530508,0.016,1.2,1.32811
Kepler-688 b,,0.0481308,0,0.98,0.696016
Kepler-62 d,,0.119499,0.0948683,0.69,0
Kepler-713 b,,0.0738933,0,0.98,0.019398
HD 79498 b,1.34632,3.13296,0.59,1.06,1.34632
GJ 273 d,0.0448185,0.730436,0.717815,0.29,0.0448185
Kepler-89 e,0.0986881,0.304548,0.019,1.277,0.0409024
HATS-22 b,2.73841,0.0503097,0.079,0.759,2.74014
Kepler-722 b,,0.0505771,0,1.03,0.0213319
Kepler-556 b,,0.100994,0,1,0.0169068
Kepler-883 b,,0.110239,0,1.06,0.0131362
Kepler-1181 b,,0.0594394,0,1.17,0.0117248
Kepler-1336 c,,0.061725,0,0.94,0.0126737
Kepler-897 b,,0.079369,0,1.03,0.0183949
Kepler-298 d,,0.355666,,,0.0196646
Kepler-269 b,,0.0596916,,,0.019315
Kepler-248 b,,0.0668155,,,0.0272098
HD 181433 c,0.640416,1.75604,0.28,0.78,0.640416
Kepler-1375 b,,0.0493278,0,1.47,0.0128259
Kepler-454 b,0.0215581,0.0951314,0,1.028,0.0215859
70 Vir b,7.46144,0.483601,0.4007,1.101,7.46144
HD 102365 b,0.0509774,0.463328,0.34,0.89,0.0509774
BD -08 2823 b,0.045941,0.0558236,0.15,0.74,0.045941
Kepler-1276 b,,0.110538,0,1.14,0.0053608
Kepler-797 b,,0.174066,0,0.96,0.0162741
HD 47366 b,1.74615,1.21472,0.089,1.81,1.74615
Kepler-160 b,,0.0518266,,,0.0115417
Kepler-1066 b,,0.03015,0,0.98,0.0181548
Kepler-1318 b,,0.629,0,0.73,0.028747
CoRoT-11 b,2.33146,0.0440549,0,1.27,2.34813
Kepler-369 c,,0.118353,,,0.00960182
Kepler-142 d,,0.235751,,,0.0161415
Kepler-1415 b,,0.0139284,0,0.89,0.00709482
Kepler-398 b,,0.0499821,,,0.00225059
Kepler-443 b,,0.558942,0,0.738,0.0177875
HD 175607 b,0.0262555,0.164916,0.16,0.71,0.0262555
Kepler-746 b,,0.0435651,0,0.91,0.00422224
Kepler-1348 b,,0.180967,0,1.04,0.0142915
Kepler-299 d,,0.119323,,,0.0136944
GJ 436 b,0.0725512,0.0287188,0.16,0.452,0.0726979
KELT-18 b,,0.0457595,0.058,1.55,1
Kepler-1231 b,,0.0936589,0,1.01,0.00991268
Kepler-142 c,,0.0553921,,,0.0245625
Kepler-401 d,,0,0,0,0.0172355
Kepler-815 b,,0.0883216,0,1.25,0.055479
Kepler-578 b,,0.0257374,0,0.87,0.0147338
Kepler-181 c,,0.0517683,,,0.014692
XO-2S b,0.259,0.134393,0.18,0.982,0.259
Kepler-364 b,,0.170638,,,0.011604
Kepler-173 c,,0.0783205,,,0.0188614
Kepler-609 b,,0.070302,0,1.09,0.0337813
Kepler-1606 b,,0.638509,0,0.9,0.015383
Kepler-290 b,,0.11685,,,0.0169862
Kepler-926 b,,0.273799,0,1.01,0.0175728
Kepler-544 b,,0.158582,0,1.16,0.0157709
HATS-36 b,3.2196,0.0542977,0.105,1.222,3.22241
WASP-37 b,1.79324,0.0446312,0,0.925,1.79362
Kepler-223 c,,0.0899174,,,0.0147725
HD 6718 b,1.5591,3.55427,0.1,0.96,1.5591
Kepler-224 e,,0.137602,,,0.0145328
Kepler-322 c,,0.0520493,,,0.0123736
HD 33636 b,9.26951,3.26519,0.4805,1.017,9.26951
Kepler-477 b,,0.093078,0,0.87,0.015383
Kepler-1327 b,,0.119224,0,1.02,0.0132944
V830 Tau b,0.569537,0.056677,,1,0.695276
Kepler-163 c,,0.150603,,,0.0170837
Kepler-1128 b,,0.29908,0,0.94,0.0412428
HAT-P-40 b,0.619927,0.060845,0,1.512,0.6202
HD 240237 b,5.31949,1.91887,0.4,1.69,5.31949
Kepler-494 b,,0.0809789,0,1.1,0.218701
Kepler-169 f,,0.38452,,,0.0206381
Kepler-283 b,,0.0968462,,,0.0158724
rho CrB b,1.06409,0.225692,0.057,0.965,1.06409
Kepler-214 b,,0.122502,,,0.0210192
Kepler-700 b,,0.363536,0,0.98,0.12013
Kepler-1549 b,,0.672832,0,0.88,0.020474
Kepler-730 b,,0.0681049,0,1,0.542157
Kepler-1515 b,,0.764923,0,1.3,0.383964
Kepler-1424 b,,0.188549,0,1.02,0.00485109
Kepler-314 b,,0.0356743,,,0.00150361
Kepler-188 c,,0.0645963,,,0.0303861
